05.12.2019 16:58:49.757 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7c872c16
05.12.2019 16:58:49.757 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7c872c16
05.12.2019 16:58:49.758 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6c995b4c
05.12.2019 16:58:49.758 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6c995b4c
05.12.2019 16:58:49.758 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6c995b4c
05.12.2019 16:58:49.760 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5a9914f9
05.12.2019 16:58:49.760 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5a9914f9
05.12.2019 16:58:49.761 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4c17c7e2
05.12.2019 16:58:49.761 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4c17c7e2
05.12.2019 16:58:49.762 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@426a4d01
05.12.2019 16:58:49.762 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@426a4d01
05.12.2019 16:58:49.763 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@f961e2d
05.12.2019 16:58:49.764 [http-bio-8888-exec-3] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4d53ec6b
